,EnsemblTranscriptID,chr,pos,strand
11412,ENST00000330394,chr3,"[(184279571, 184280023)]",+
11413,ENST00000330398,chr16,"[(2563870, 2564104)]",+
11414,ENST00000330423,chr22,"[(18593558, 18593631)]",+
11415,ENST00000330430,chr6,"[(46293216, 46293405)]",-
11416,ENST00000330432,chr6,"[(154360442, 154360679)]",+
11417,ENST00000330439,chr16,"[(56659709, 56659763)]",+
11418,ENST00000330446,chr19,"[(41509850, 41509854)]",+
11419,ENST00000330452,chr3,"[(53195214, 53195444), (53199119, 53199231), (53212419, 53212438)]",+
11420,ENST00000330458,chr17,"[(34806518, 34806519), (34807947, 34808103)]",-
11421,ENST00000330459,chr17,"[(66031634, 66031956), (66033225, 66033248)]",+
11422,ENST00000330475,chr19,"[(1510942, 1511159), (1512961, 1513188)]",-
11423,ENST00000330479,chr12,"[(123868319, 123868745)]",+
11424,ENST00000330487,chr11,"[(123909708, 123909717)]",-
11425,ENST00000330490,chr21,"[(45937098, 45937676)]",+
11426,ENST00000330493,chr1,"[(202789393, 202789513), (202792384, 202793034), (202794313, 202794634)]",+
11427,ENST00000330494,chr17,"[(7792168, 7792318)]",+
11428,ENST00000330498,chr16,"[(31494438, 31494457)]",+
11429,ENST00000330500,chr1,"[(248757069, 248757100)]",-
11430,ENST00000330501,chr18,"[(32821000, 32821073), (32822354, 32822434)]",+
11431,ENST00000330513,chr18,"[(3451674, 3451977)]",+
11432,ENST00000330514,chr17,"[(42883185, 42883205), (42884761, 42885252)]",-
11433,ENST00000330523,chr20,"[(44314631, 44314695), (44333135, 44333200), (44333556, 44333658)]",-
11434,ENST00000330537,chr16,"[(18573362, 18573533)]",-
11435,ENST00000330539,chr8,"[(37594015, 37594316), (37594896, 37594944)]",-
11436,ENST00000330540,chr3,"[(121774220, 121774336)]",+
11437,ENST00000330551,chr21,"[(46357519, 46357597), (46359507, 46359760)]",-
11438,ENST00000330553,chr12,"[(53228044, 53228079)]",-
11439,ENST00000330560,chr8,"[(25316512, 25316989)]",+
11440,ENST00000330574,chr11,"[(62420721, 62420774)]",-
11441,ENST00000330575,chr2,"[(113191030, 113191107)]",-
11442,ENST00000330579,chr12,"[(132628992, 132629033)]",+
11443,ENST00000330590,chr8,"[(6914219, 6914256)]",-
11444,ENST00000330597,chr11,"[(5271034, 5271122)]",-
11445,ENST00000330619,chr19,"[(57078879, 57079407), (57080126, 57080252), (57081648, 57081680)]",+
11446,ENST00000330634,chr14,"[(105155942, 105156076), (105167693, 105167702)]",+
11447,ENST00000330636,chr6,"[(5260966, 5261172)]",-
11448,ENST00000330651,chr22,"[(50708721, 50708822)]",-
11449,ENST00000330655,chr17,"[(79899617, 79899719), (79900171, 79900255)]",-
11450,ENST00000330676,chr17,"[(1613536, 1613732)]",-
11451,ENST00000330677,chr12,"[(95461160, 95461167), (95467155, 95467313)]",-
11452,ENST00000330682,chr18,"[(44556213, 44556449)]",-
11453,ENST00000330684,chr16,"[(10274268, 10274286), (10275733, 10276263)]",-
11454,ENST00000330687,chr16,"[(66730428, 66730610)]",-
11455,ENST00000330688,chr3,"[(25469801, 25470222)]",+
11456,ENST00000330689,chr3,"[(122134375, 122134882)]",-
11457,ENST00000330701,chr8,"[(144329097, 144329312), (144331859, 144332013)]",+
11458,ENST00000330710,chr14,"[(100111446, 100111544)]",+
11459,ENST00000330714,chr21,"[(42733869, 42733982), (42748762, 42748833)]",+
11460,ENST00000330720,chr19,"[(48894615, 48894810)]",-
11461,ENST00000330722,chr12,"[(52886972, 52887041)]",-
11462,ENST00000330728,chr11,"[(6024378, 6024424)]",-
11463,ENST00000330743,chr19,"[(42343359, 42343479), (42347644, 42348736)]",-
11464,ENST00000330752,chr12,"[(54674558, 54674591)]",+
11465,ENST00000330753,chr14,"[(85996487, 85996878), (86087482, 86087858)]",+
11466,ENST00000330767,chr17,"[(7258496, 7258523)]",+
11467,ENST00000330775,chr11,"[(118900079, 118900274), (118901558, 118901571)]",-
11468,ENST00000330793,chr17,"[(72541921, 72542282)]",-
11469,ENST00000330794,chr5,"[(138861794, 138861887), (138862134, 138862375)]",-
11470,ENST00000330798,chr21,"[(32007554, 32007582)]",+
11471,ENST00000330803,chr1,"[(248790429, 248790491)]",-
11472,ENST00000330807,chrX,"[(55052433, 55052448), (55057374, 55057497)]",-
11473,ENST00000330817,chr22,"[(50307413, 50307491), (50311910, 50312106)]",-
11474,ENST00000330824,chr8,"[(144295067, 144295142)]",+
11475,ENST00000330828,chr12,"[(14956505, 14956685), (14975845, 14975869)]",+
11476,ENST00000330836,chr14,"[(94546088, 94546093), (94547464, 94547591)]",-
11477,ENST00000330838,chr4,"[(74124385, 74124515)]",-
11478,ENST00000330842,chr2,"[(237150163, 237150258)]",-
11479,ENST00000330843,chr8,"[(37756959, 37756972)]",-
11480,ENST00000330847,chr9,"[(102589008, 102589052)]",+
11481,ENST00000330852,chr4,"[(13485774, 13485989)]",-
11482,ENST00000330862,chr3,"[(48659189, 48659288)]",-
11483,ENST00000330871,chr17,"[(76355176, 76355264), (76355830, 76356158)]",-
11484,ENST00000330877,chr14,"[(105190522, 105190607)]",+
11485,ENST00000330883,chr7,"[(150652591, 150652994)]",-
11486,ENST00000330884,chr22,"[(44258262, 44258383)]",-
11487,ENST00000330889,chr17,"[(29248697, 29249032)]",+
11488,ENST00000330891,chr12,"[(70091578, 70091593), (70092984, 70093196)]",-
11489,ENST00000330899,chr9,"[(33025208, 33025381), (33026472, 33026482)]",+
11490,ENST00000330906,chrX,"[(52386016, 52386024), (52386816, 52387001)]",-
11491,ENST00000330912,chrX,"[(152710888, 152710922), (152711466, 152711569), (152713205, 152713367), (152719851, 152719966), (152720334, 152720511), (152720999, 152721224), (152721722, 152721822), (152721950, 152722109), (152722594, 152722686), (152728067, 152728129), (152730445, 152730513), (152734603, 152734719), (152735907, 152736045)]",-
11492,ENST00000330914,chr6,"[(30689350, 30689675), (30690313, 30690422), (30690694, 30690744)]",+
11493,ENST00000330915,chr19,"[(8402712, 8402740), (8408108, 8408146)]",-
11494,ENST00000330927,chr17,"[(29632627, 29632648), (29640996, 29641130)]",-
11495,ENST00000330938,chr21,"[(46293531, 46293752)]",-
11496,ENST00000330942,chr21,"[(46207875, 46207880), (46207974, 46208010), (46221198, 46221313), (46221620, 46221689)]",-
11497,ENST00000330943,chr16,"[(50711437, 50711446), (50715100, 50715263)]",-
11498,ENST00000330947,chr1,"[(89990461, 89990581), (90033805, 90033866), (90033997, 90034052), (90045149, 90045247), (90048183, 90048209)]",+
11499,ENST00000330949,chr13,"[(112721912, 112721972)]",+
11500,ENST00000330953,chr3,"[(32993065, 32993182), (32994863, 32994914)]",+
11501,ENST00000330964,chr15,"[(63449604, 63450001)]",-
11502,ENST00000330966,chr1,"[(24435126, 24435144), (24438520, 24438665)]",-
11503,ENST00000330978,chr16,"[(29465772, 29466285)]",-
11504,ENST00000330997,chr19,"[(44901378, 44901421), (44905733, 44905755)]",-
11505,ENST00000331001,chr2,"[(97509729, 97509758)]",-
11506,ENST00000331006,chr16,"[(89747144, 89748885)]",+
11507,ENST00000331010,chr12,"[(5603297, 5603380)]",+
11508,ENST00000331018,chr22,"[(43471592, 43471596), (43475907, 43475992), (43485282, 43485434)]",-
11509,ENST00000331029,chr22,"[(29664279, 29664325)]",+
11510,ENST00000331035,chrX,"[(1455508, 1455819), (1460620, 1460658)]",+
11511,ENST00000331035,chrY,"[(1405508, 1405819), (1410620, 1410658)]",+
11512,ENST00000331056,chr17,"[(79620335, 79620394), (79623522, 79623607)]",-
11513,ENST00000331070,chrY,"[(25130409, 25130440), (25130715, 25130838), (25133903, 25134040), (25138449, 25138490)]",+
11514,ENST00000331075,chr22,"[(31518951, 31519000)]",+
11515,ENST00000331079,chr11,"[(20409075, 20409292)]",+
11516,ENST00000331090,chr15,"[(73735498, 73735526)]",+
11517,ENST00000331105,chr19,"[(41620336, 41620397), (41622082, 41622093)]",+
11518,ENST00000331110,chr1,"[(241265170, 241265476), (241307739, 241307868)]",-
11519,ENST00000331113,chr7,"[(119913721, 119914686)]",+
11520,ENST00000331129,chr2,"[(8822185, 8822295)]",+
11521,ENST00000331134,chr17,"[(79603956, 79604172)]",-
11522,ENST00000331145,chr4,"[(75023828, 75023998), (75040222, 75040253)]",+
11523,ENST00000331159,chr17,"[(36508110, 36508127)]",+
11524,ENST00000331161,chr10,"[(25304865, 25305085)]",-
11525,ENST00000331162,chr7,"[(57200031, 57200045), (57207314, 57207571)]",-
11526,ENST00000331163,chr22,"[(39639968, 39640756)]",-
11527,ENST00000331173,chr10,"[(53459309, 53459355)]",-
11528,ENST00000331194,chr14,"[(91751751, 91752012)]",-
11529,ENST00000331200,chr15,"[(48623619, 48623712)]",+
11530,ENST00000331203,chr2,"[(112895961, 112896232)]",+
11531,ENST00000331204,chr17,"[(79849435, 79849462)]",-
11532,ENST00000331220,chrX,"[(151883118, 151883171), (151883567, 151883646), (151884445, 151884565), (151885136, 151885234), (151885384, 151885450), (151885530, 151885595)]",+
11533,ENST00000331222,chr8,"[(1711927, 1712051), (1719097, 1719220)]",+
11534,ENST00000331224,chr14,"[(101193245, 101193405)]",+
11535,ENST00000331238,chr17,"[(1928159, 1928639)]",-
11536,ENST00000331239,chr11,"[(93474807, 93474894), (93480467, 93480559)]",+
11537,ENST00000331242,chr7,"[(86781676, 86781871), (86792810, 86792933), (86794249, 86794257)]",+
11538,ENST00000331243,chr2,"[(14772823, 14773061), (14773709, 14773952), (14774067, 14774103)]",+
11539,ENST00000331244,chr10,"[(131934662, 131934684)]",+
11540,ENST00000331251,chr8,"[(53850990, 53852467)]",+
11541,ENST00000331256,chr19,"[(39574944, 39575040), (39575731, 39575909)]",+
11542,ENST00000331264,chr17,"[(4692253, 4692306)]",+
11543,ENST00000331268,chr15,"[(79165155, 79165359)]",+
11544,ENST00000331272,chr10,"[(103454397, 103455016)]",-
11545,ENST00000331285,chr17,"[(79866857, 79867197), (79867389, 79867478), (79868776, 79869051)]",-
11546,ENST00000331289,chr11,"[(2291562, 2292182)]",-
11547,ENST00000331299,chr14,"[(37641555, 37642071)]",-
11548,ENST00000331302,chr17,"[(177334, 177370), (183549, 183725), (202502, 202598)]",-
11549,ENST00000331314,chr1,"[(200635868, 200635879), (200638894, 200639097)]",-
11550,ENST00000331320,chr14,"[(105886158, 105886372)]",+
11551,ENST00000331327,chr5,"[(139493707, 139493766)]",+
11552,ENST00000331334,chr14,"[(96000929, 96001426)]",+
11553,ENST00000331335,chr3,"[(99649864, 99649874), (99832896, 99833357)]",-
11554,ENST00000331336,chr17,"[(8274852, 8274858)]",-
11555,ENST00000331340,chr7,"[(50344377, 50344518), (50358643, 50358657)]",+
11556,ENST00000331342,chr2,"[(233734993, 233735051)]",+
11557,ENST00000331343,chr21,"[(46707786, 46707813)]",-
11558,ENST00000331351,chr16,"[(25703346, 25703738)]",+
11559,ENST00000331366,chr12,"[(39299336, 39299433)]",-
11560,ENST00000331373,chr8,"[(42948660, 42948706), (42952666, 42952758), (42957647, 42957743), (42958670, 42958691)]",+
11561,ENST00000331393,chr2,"[(120770694, 120770786), (120776652, 120776660)]",+
11562,ENST00000331397,chrY,"[(15591545, 15592553)]",-
11563,ENST00000331410,chr7,"[(99070463, 99070679), (99074025, 99074079)]",+
11564,ENST00000331426,chr2,"[(152118241, 152118393)]",-
11565,ENST00000331427,chr17,"[(72920369, 72920428), (72920694, 72920727)]",+
11566,ENST00000331428,chr22,"[(17288963, 17288973), (17302496, 17302589)]",-
11567,ENST00000331429,chr10,"[(17851361, 17851464)]",+
11568,ENST00000331433,chr1,"[(16348546, 16348558), (16349107, 16349114)]",+
11569,ENST00000331434,chr8,"[(146277763, 146277877)]",+
11570,ENST00000331437,chr22,"[(17602017, 17602143)]",-
11571,ENST00000331442,chr6,"[(27835307, 27835359)]",-
11572,ENST00000331444,chr22,"[(18893735, 18893887)]",+
11573,ENST00000331450,chr15,"[(99791745, 99791961), (99796102, 99796162)]",+
11574,ENST00000331454,chr22,"[(39795788, 39795807)]",+
11575,ENST00000331456,chr3,"[(49893886, 49894000)]",-
11576,ENST00000331457,chr22,"[(31795508, 31795669)]",+
11577,ENST00000331462,chr2,"[(177053306, 177053529)]",+
11578,ENST00000331469,chr2,"[(87088988, 87089038)]",-
11579,ENST00000331471,chr12,"[(70091578, 70091593), (70092984, 70093141)]",-
11580,ENST00000331479,chr22,"[(42475698, 42475772)]",+
11581,ENST00000331483,chr17,"[(79818347, 79818570)]",-
11582,ENST00000331493,chr17,"[(45401346, 45401440), (45401819, 45401889), (45403591, 45403753), (45405634, 45405719)]",+
11583,ENST00000331495,chr17,"[(43299155, 43299491)]",+
11584,ENST00000331505,chr22,"[(21904983, 21905120)]",-
11585,ENST00000331511,chrX,"[(17820130, 17820154), (17855656, 17855850), (17879217, 17879356)]",-
11586,ENST00000331523,chr6,"[(74229749, 74229779), (74231229, 74231444)]",-
11587,ENST00000331531,chr17,"[(79679336, 79679456)]",+
11588,ENST00000331536,chr7,"[(86975010, 86975083), (86975655, 86975746), (86978363, 86978384)]",+
11589,ENST00000331552,chr19,"[(19313869, 19314233)]",-
11590,ENST00000331555,chr1,"[(206243502, 206243598), (206288104, 206288647)]",-
11591,ENST00000331559,chr19,"[(47922338, 47922780)]",-
11592,ENST00000331563,chr11,"[(394216, 394292)]",+
11593,ENST00000331565,chr1,"[(110693107, 110693505), (110709464, 110709551)]",+
11594,ENST00000331569,chr8,"[(37553268, 37553497)]",+
11595,ENST00000331573,chr21,"[(40555311, 40555777)]",-
11596,ENST00000331581,chr11,"[(115375112, 115375283)]",-
11597,ENST00000331587,chr11,"[(14992738, 14992747), (14993790, 14993900)]",-
11598,ENST00000331588,chr11,"[(1587056, 1587166)]",-
11599,ENST00000331593,chr1,"[(39957317, 39957663)]",+
11600,ENST00000331595,chrX,"[(152760396, 152760571), (152770078, 152770089)]",+
11601,ENST00000331597,chr11,"[(74022656, 74022702)]",-
11602,ENST00000331615,chr17,"[(41363893, 41363941), (41364245, 41364413), (41365039, 41365060)]",+
11603,ENST00000331628,chr14,"[(74876447, 74876504), (74892614, 74892805)]",-
11604,ENST00000331650,chr10,"[(48792783, 48792799), (48795346, 48795444), (48827860, 48827934)]",-
11605,ENST00000331659,chr3,"[(171510598, 171511736), (171526965, 171527714)]",-
11606,ENST00000331662,chr4,"[(2061538, 2061614), (2062724, 2062852)]",+
11607,ENST00000331666,chr16,"[(28722683, 28722839), (28722977, 28723007)]",+
11608,ENST00000331677,chr6,"[(116691520, 116691659), (116692032, 116692284), (116720360, 116720413)]",+
11609,ENST00000331683,chr2,"[(214149112, 214149207)]",+
11610,ENST00000331706,chr15,"[(94841429, 94841959), (94857510, 94857573), (94858757, 94858866), (94882518, 94882661), (94883427, 94883504), (94884041, 94884153), (94888357, 94888393), (94899365, 94899530), (94901710, 94901776)]",+
11611,ENST00000331710,chr12,"[(64845659, 64845967), (64849619, 64849650)]",+
11612,ENST00000331718,chr17,"[(21308447, 21308639), (21311830, 21311952), (21318598, 21318654)]",+
11613,ENST00000331728,chr22,"[(31608280, 31608394)]",+
11614,ENST00000331730,chr5,"[(54468828, 54469005)]",-
11615,ENST00000331733,chr17,"[(42977141, 42977227), (42978357, 42978509), (42978887, 42979020), (42979732, 42981197)]",+
11616,ENST00000331737,chr10,"[(31146615, 31146707), (31165926, 31165994), (31197861, 31197944), (31199288, 31199369), (31230503, 31230580), (31273297, 31273355)]",-
11617,ENST00000331738,chr12,"[(123011400, 123011546)]",-
11618,ENST00000331758,chr20,"[(60718850, 60718876)]",+
11619,ENST00000331762,chr7,"[(111161503, 111161505), (111201906, 111201979), (111202519, 111202573)]",-
11620,ENST00000331768,chr14,"[(99932142, 99932150), (99947064, 99947216)]",-
11621,ENST00000331769,chr17,"[(38171699, 38171915)]",+
11622,ENST00000331772,chr10,"[(90342947, 90342970)]",-
11623,ENST00000331780,chr17,"[(43339383, 43339479)]",-
11624,ENST00000331782,chr14,"[(105634757, 105635161)]",-
11625,ENST00000331789,chr7,"[(5569288, 5569294), (5570154, 5570340)]",-
11626,ENST00000331803,chr7,"[(48128240, 48128520), (48128808, 48129015), (48129846, 48129961), (48134359, 48134380)]",+
11627,ENST00000331808,chr16,"[(11035862, 11036317)]",-
11628,ENST00000331817,chr12,"[(52626897, 52627080)]",+
11629,ENST00000331821,chr22,"[(20105070, 20105172)]",+
11630,ENST00000331825,chr19,"[(49468557, 49468764)]",+
11631,ENST00000331830,chr1,"[(205012324, 205012522), (205022227, 205022313)]",+
11632,ENST00000331835,chr1,"[(87379785, 87380048)]",-
11633,ENST00000331837,chr15,"[(23932364, 23932450)]",-
11634,ENST00000331838,chr1,"[(241803556, 241803701)]",-
11635,ENST00000331849,chr16,"[(20420855, 20420987), (20422791, 20422806)]",+
11636,ENST00000331858,chr6,"[(137243401, 137243566)]",+
11637,ENST00000331860,chr1,"[(152974222, 152974269), (152975078, 152975162), (152975477, 152975496)]",+
11638,ENST00000331872,chr1,"[(182357872, 182357885), (182360813, 182361341)]",-
11639,ENST00000331886,chr12,"[(56324755, 56325128), (56330206, 56330287)]",+
11640,ENST00000331889,chr3,"[(32726636, 32726952)]",+
11641,ENST00000331890,chr8,"[(145582107, 145582172)]",-
11642,ENST00000331898,chr11,"[(132812987, 132813566)]",-
11643,ENST00000331920,chr9,"[(98270643, 98270943)]",-
11644,ENST00000331923,chr21,"[(34143979, 34144169)]",-
11645,ENST00000331925,chr17,"[(79479380, 79479386), (79479759, 79479900)]",-
11646,ENST00000331952,chr14,"[(105046100, 105046340), (105052751, 105052767)]",+
11647,ENST00000331968,chr14,"[(30396718, 30396948)]",-
11648,ENST00000331982,chr19,"[(39759153, 39759208)]",+
11649,ENST00000332007,chr7,"[(154002194, 154002579)]",+
11650,ENST00000332018,chr13,"[(24883715, 24883754), (24890119, 24890141)]",+
11651,ENST00000332029,chr16,"[(11349335, 11349385), (11349935, 11350036)]",-
11652,ENST00000332035,chr22,"[(29664314, 29664325)]",+
11653,ENST00000332047,chr3,"[(134204584, 134204894), (134214137, 134214162)]",+
11654,ENST00000332050,chr22,"[(29663997, 29664325)]",+
11655,ENST00000332053,chr18,"[(45567478, 45567494)]",-
11656,ENST00000332065,chr17,"[(74099773, 74099776)]",-
11657,ENST00000332070,chrX,"[(133507341, 133507497), (133511601, 133511647)]",+
11658,ENST00000332082,chr12,"[(108525527, 108525637), (108561201, 108561358), (108589058, 108589609)]",+
11659,ENST00000332112,chr4,"[(75174203, 75174250)]",+
11660,ENST00000332118,chr11,"[(126138699, 126138854)]",-
11661,ENST00000332127,chr1,"[(203764833, 203764922), (203765420, 203765624), (203770702, 203770756), (203771779, 203772144), (203786053, 203786198)]",+
11662,ENST00000332129,chr1,"[(200992511, 200992828)]",-
11663,ENST00000332131,chr21,"[(37431186, 37431222), (37432644, 37432848)]",-
11664,ENST00000332132,chrX,"[(55187589, 55187628)]",-
11665,ENST00000332135,chr8,"[(145559831, 145559943)]",-
11666,ENST00000332142,chr2,"[(163695028, 163695128)]",-
11667,ENST00000332145,chr15,"[(76016317, 76016540)]",+
11668,ENST00000332149,chr21,"[(42870060, 42870116), (42880007, 42880086)]",-
11669,ENST00000332156,chr12,"[(86383324, 86383330), (86395271, 86396256), (86405577, 86405680), (86407504, 86407536), (86443451, 86443515)]",-
11670,ENST00000332160,chr12,"[(51318533, 51318821)]",+
11671,ENST00000332175,chr18,"[(7566779, 7567816)]",+
11672,ENST00000332180,chr12,"[(105501491, 105501578)]",+
11673,ENST00000332191,chr3,"[(77089880, 77089936)]",+
11674,ENST00000332192,chr1,"[(13516065, 13516160), (13521968, 13521972)]",+
11675,ENST00000332211,chr10,"[(76970508, 76970696), (76970891, 76970916)]",+
11676,ENST00000332231,chr11,"[(925880, 926021)]",+
11677,ENST00000332235,chr19,"[(408361, 408401), (409005, 409139)]",-
11678,ENST00000332238,chr15,"[(102358365, 102358389)]",+
11679,ENST00000332245,chr6,"[(42984722, 42984930)]",+
11680,ENST00000332246,chr8,"[(19363345, 19363641), (19442676, 19442828), (19459281, 19459376), (19539983, 19540094)]",-
11681,ENST00000332249,chr11,"[(6008160, 6008215)]",-
11682,ENST00000332262,chrX,"[(101967103, 101967480), (101968709, 101968777), (101969116, 101969194), (101969464, 101969797)]",+
11683,ENST00000332271,chr22,"[(25158466, 25158488), (25170288, 25170683)]",-
11684,ENST00000332272,chr16,"[(75513726, 75513742), (75515714, 75515789), (75528837, 75528926)]",-
11685,ENST00000332281,chr16,"[(88752814, 88752901)]",-
11686,ENST00000332290,chr6,"[(170102256, 170102555)]",+
11687,ENST00000332296,chr1,"[(12851545, 12851623), (12853351, 12853376)]",+
11688,ENST00000332298,chr20,"[(62708239, 62708307), (62711225, 62711323)]",-
11689,ENST00000332303,chr15,"[(29561909, 29562033)]",-
11690,ENST00000332305,chr1,"[(16091447, 16091478)]",+
11691,ENST00000332307,chr16,"[(75182431, 75182541), (75200667, 75200751)]",+
11692,ENST00000332312,chr20,"[(39995274, 39995467)]",-
11693,ENST00000332323,chr19,"[(52934666, 52934727)]",+
11694,ENST00000332324,chr8,"[(145550299, 145550573)]",-
11695,ENST00000332337,chr2,"[(38603321, 38603366)]",-
11696,ENST00000332345,chr2,"[(109204766, 109204881), (109276060, 109276064)]",+
11697,ENST00000332349,chr11,"[(96123157, 96123237), (96123646, 96123813)]",+
11698,ENST00000332351,chr11,"[(32456891, 32457176)]",-
11699,ENST00000332372,chr2,"[(71017770, 71017775)]",-
11700,ENST00000332374,chr16,"[(56703725, 56703796)]",+
11701,ENST00000332375,chr7,"[(100061648, 100061894)]",-
11702,ENST00000332378,chr21,"[(32253843, 32253874)]",-
11703,ENST00000332386,chr19,"[(17634109, 17634247)]",+
11704,ENST00000332395,chr16,"[(68057105, 68057770)]",-
11705,ENST00000332397,chr7,"[(99905324, 99905508)]",+
11706,ENST00000332408,chr15,"[(49255212, 49255641)]",-
11707,ENST00000332411,chr12,"[(53171075, 53171129)]",-
11708,ENST00000332427,chr12,"[(12815382, 12815404), (12837284, 12837441), (12848392, 12848445), (12848998, 12849121)]",-
11709,ENST00000332431,chrX,"[(102585123, 102585232), (102585850, 102585968), (102586304, 102586331)]",+
11710,ENST00000332432,chr5,"[(16179684, 16179884)]",-
11711,ENST00000332435,chr6,"[(30029030, 30029301)]",+
11712,ENST00000332438,chr17,"[(40833841, 40833861)]",-
11713,ENST00000332439,chr17,"[(7761300, 7761452)]",+
11714,ENST00000332482,chr12,"[(132434507, 132434581), (132445129, 132445164)]",+
11715,ENST00000332496,chr15,"[(90728194, 90728313), (90744689, 90744810)]",+
11716,ENST00000332499,chr17,"[(43224683, 43226557)]",+
11717,ENST00000332503,chr17,"[(46655681, 46657473)]",-
11718,ENST00000332509,chr22,"[(38565433, 38565478), (38577670, 38577809)]",-
11719,ENST00000332512,chr21,"[(43187201, 43187266)]",-
11720,ENST00000332517,chr4,"[(189060572, 189060712)]",+
11721,ENST00000332530,chr1,"[(12776117, 12776343)]",+
11722,ENST00000332536,chr22,"[(38506532, 38506676)]",-
11723,ENST00000332539,chr11,"[(60621195, 60621204), (60623341, 60623444)]",-
11724,ENST00000332549,chr2,"[(102608305, 102608473), (102624976, 102625037)]",+
11725,ENST00000332556,chr13,"[(113951555, 113951749)]",+
11726,ENST00000332558,chr7,"[(132333552, 132333802), (132346239, 132346304), (132346749, 132346841), (132409535, 132409746)]",+
11727,ENST00000332567,chr18,"[(44561635, 44561988)]",-
11728,ENST00000332582,chrX,"[(53078272, 53078666), (53105706, 53105803)]",+
11729,ENST00000332585,chr22,"[(31090792, 31090896)]",+
11730,ENST00000332591,chr9,"[(95618507, 95618600), (95640171, 95640304)]",-
11731,ENST00000332592,chr13,"[(114128559, 114128569), (114144981, 114145006)]",-
11732,ENST00000332598,chr5,"[(177019158, 177019215)]",+
11733,ENST00000332601,chr11,"[(6816939, 6817128)]",-
11734,ENST00000332624,chr2,"[(202285230, 202285429), (202316072, 202316302)]",-
11735,ENST00000332629,chr3,"[(196288346, 196288362), (196293747, 196294178), (196295389, 196295510)]",-
11736,ENST00000332644,chr4,"[(69111276, 69111438)]",-
11737,ENST00000332647,chrX,"[(92929204, 92929273), (92929699, 92929751), (92953395, 92953484), (92964315, 92964418)]",+
11738,ENST00000332650,chr3,"[(98188323, 98188420)]",+
11739,ENST00000332663,chr15,"[(22368477, 22368575)]",+
11740,ENST00000332674,chr10,"[(111967362, 111967566)]",+
11741,ENST00000332680,chr15,"[(60690112, 60690184)]",-
11742,ENST00000332682,chr11,"[(49050503, 49050527), (49053147, 49053151)]",+
11743,ENST00000332687,chrX,"[(73815812, 73815835), (73834256, 73834452)]",-
11744,ENST00000332695,chr16,"[(66600295, 66600416)]",+
11745,ENST00000332700,chr12,"[(45444710, 45444882)]",-
11746,ENST00000332707,chr12,"[(64798129, 64798584), (64803741, 64803815)]",+
11747,ENST00000332708,chr10,"[(95178, 95209)]",-
11748,ENST00000332710,chr22,"[(19744225, 19744268), (19747080, 19747166)]",+
11749,ENST00000332715,chr13,"[(28562774, 28562791)]",-
11750,ENST00000332725,chr11,"[(409874, 410027), (417324, 417397)]",-
11751,ENST00000332728,chr15,"[(100272204, 100272212), (100273133, 100273233), (100273549, 100273626)]",-
11752,ENST00000332772,chr5,"[(175740082, 175740427)]",+
11753,ENST00000332776,chr17,"[(5019732, 5020035), (5021494, 5021585), (5023921, 5024083), (5024669, 5025045), (5027860, 5028567), (5029115, 5029233), (5030798, 5030934), (5032246, 5032428), (5033230, 5033384), (5033661, 5033662)]",+
11754,ENST00000332780,chr3,"[(49209043, 49209118), (49210068, 49210202)]",+
11755,ENST00000332782,chr12,"[(57643419, 57643420), (57644775, 57644976)]",-
11756,ENST00000332783,chr15,"[(101142738, 101143251), (101143419, 101143518), (101149911, 101150033), (101152370, 101152421)]",+
11757,ENST00000332793,chr11,"[(63057635, 63057637)]",+
11758,ENST00000332797,chr6,"[(139094656, 139094811)]",+
11759,ENST00000332800,chr17,"[(61959161, 61959295)]",-
11760,ENST00000332810,chr15,"[(89164526, 89164613), (89169376, 89169440)]",+
11761,ENST00000332811,chr22,"[(29279889, 29280054)]",+
11762,ENST00000332821,chr18,"[(61328450, 61328476), (61329079, 61329118)]",-
11763,ENST00000332822,chr17,"[(54671059, 54671584)]",+
11764,ENST00000332826,chr11,"[(441926, 442011)]",-
11765,ENST00000332830,chr17,"[(27277978, 27278789)]",-
11766,ENST00000332831,chr1,"[(622034, 622053)]",-
11767,ENST00000332836,chr19,"[(56249740, 56249768)]",-
11768,ENST00000332840,chr22,"[(33402647, 33402806)]",-
11769,ENST00000332843,chr8,"[(120079479, 120079520)]",+
11770,ENST00000332853,chr10,"[(50323530, 50323554)]",-
11771,ENST00000332854,chr19,"[(58111252, 58111472)]",+
11772,ENST00000332857,chr9,"[(43630701, 43630730)]",-
11773,ENST00000332859,chr21,"[(46237883, 46238044)]",-
11774,ENST00000332865,chr11,"[(207321, 207356)]",-
11775,ENST00000332878,chr7,"[(20201485, 20201493), (20256921, 20257027)]",-
11776,ENST00000332881,chr11,"[(3011092, 3012265)]",+
11777,ENST00000332884,chr4,"[(108852524, 108852799)]",+
11778,ENST00000332896,chr12,"[(94071150, 94071248), (94072544, 94072550)]",+
11779,ENST00000332900,chr17,"[(79288262, 79288281), (79303943, 79304474)]",-
11780,ENST00000332904,chr10,"[(85954409, 85954516)]",+
11781,ENST00000332908,chr15,"[(99029126, 99029207)]",-
11782,ENST00000332912,chr1,"[(213009491, 213009529), (213020921, 213020991)]",-
11783,ENST00000332921,chrX,"[(84363413, 84363974)]",-
11784,ENST00000332947,chr1,"[(20878931, 20879466)]",+
11785,ENST00000332955,chr19,"[(49249116, 49249189), (49249691, 49250166)]",-
